ID,Response
50883,0.39
50884,0.36
50885,0.36
50886,0.18
50887,0.16
50888,0.43
50889,0.46
50890,0.28
50891,0.54
50892,0.18
50893,0.54
50894,0.1
50895,0.2
50896,0.3
50897,0.42
50898,0.18
50899,0.13
50900,0.29
50901,0.43
50902,0.19
50903,0.04
50904,0.33
50905,0.35
50906,0.01
50907,0.23
50908,0.16
50909,0.24
50910,0.29
50911,0.57
50912,0.18
50913,0.11
50914,0.19
50915,0.17
50916,0.22
50917,0.31
50918,0.5
50919,0.27
50920,0.05
50921,0.39
50922,0.08
50923,0.12
50924,0.05
50925,0.34
50926,0.36
50927,0.55
50928,0.34
50929,0.42
50930,0
50931,0.3
50932,0.35
50933,0.14
50934,0.09
50935,0.23
50936,0.39
50937,0.44
50938,0.3
50939,0.61
50940,0.22
50941,0.35
50942,0.55
50943,0.24
50944,0.15
50945,0.43
50946,0.38
50947,0.2
50948,0.4
50949,0.22
50950,0.17
50951,0.28
50952,0.52
50953,0.23
50954,0.28
50955,0.06
50956,0.24
50957,0
50958,0.35
50959,0
50960,0.36
50961,0.13
50962,0.18
50963,0.55
50964,0.56
50965,0.55
50966,0.27
50967,0.53
50968,0.21
50969,0.25
50970,0.12
50971,0.11
50972,0.42
50973,0.15
50974,0.18
50975,0.32
50976,0.22
50977,0.22
50978,0.17
50979,0.14
50980,0.46
50981,0.07
50982,0.12
50983,0.32
50984,0.2
50985,0.22
50986,0.26
50987,0.05
50988,0.36
50989,0
50990,0.28
50991,0.31
50992,0.25
50993,0.12
50994,0.16
50995,0.07
50996,0
50997,0.25
50998,0.12
50999,0
51000,0.15
51001,0.46
51002,0.27
51003,0.68
51004,0.31
51005,0.23
51006,0.45
51007,0.38
51008,0.3
51009,0.21
51010,0.4
51011,0.2
51012,0.21
51013,0.34
51014,0.27
51015,0.45
51016,0
51017,0
51018,0.24
51019,0.18
51020,0.56
51021,0.34
51022,0.31
51023,0.16
51024,0.37
51025,0.23
51026,0.35
51027,0.14
51028,0.25
51029,0.13
51030,0.29
51031,0.43
51032,0.31
51033,0.16
51034,0.4
51035,0.27
51036,0.23
51037,0.22
51038,0.27
51039,0.22
51040,0.4
51041,0.18
51042,0.01
51043,0.07
51044,0.14
51045,0.27
51046,0.22
51047,0.04
51048,0.01
51049,0.47
51050,0.43
51051,0.32
51052,0.4
51053,0
51054,0.1
51055,0.56
51056,0.26
51057,0.15
51058,0.13
51059,0.29
51060,0.66
51061,0.73
51062,0.39
51063,0.23
51064,0.6
51065,0.16
51066,0.38
51067,0.39
51068,0.36
51069,0.26
51070,0.06
51071,0.1
51072,0.29
51073,0.07
51074,0.29
51075,0
51076,0.06
51077,0.43
51078,0.39
51079,0.21
51080,0.26
51081,0.2
51082,0.13
51083,0.33
51084,0.11
51085,0.39
51086,0.39
51087,0.18
51088,0
51089,0.16
51090,0.31
51091,0.36
51092,0
51093,0.02
51094,0.15
51095,0.26
51096,0.3
51097,0.14
51098,0.33
51099,0.68
51100,0.06
51101,0.48
51102,0.33
51103,0.36
51104,0
51105,0.58
51106,0.04
51107,0.23
51108,0.21
51109,0.59
51110,0.34
51111,0.2
51112,0.37
51113,0.36
51114,0.12
51115,0.18
51116,0.1
51117,0.28
51118,0.36
51119,0.33
51120,0.44
51121,0
51122,0.28
51123,0.19
51124,0.19
51125,0.2
51126,0.14
51127,0.37
51128,0.15
51129,0.04
51130,0.39
51131,0.18
51132,0.4
51133,0.33
51134,0.28
51135,0.34
51136,0.61
51137,0.17
51138,0.28
51139,0.38
51140,0.24
51141,0.27
51142,0.12
51143,0
51144,0.26
51145,0.43
51146,0.47
51147,0.31
51148,0.04
51149,0.14
51150,0.23
51151,0.2
51152,0.33
51153,0.71
51154,0.29
51155,0.37
51156,0.47
51157,0.29
51158,0.11
51159,0.15
51160,0.35
51161,0.61
51162,0.32
51163,0.21
51164,0.16
51165,0.13
51166,0.16
51167,0.58
51168,0.08
51169,0.08
51170,0.49
51171,0.14
51172,0.12
51173,0.23
51174,0.13
51175,0.71
51176,0.19
51177,0.52
51178,0.27
51179,0.51
51180,0.48
51181,0.22
51182,0.36
51183,0.24
51184,0.14
51185,0.43
51186,0.31
51187,0.38
51188,0.34
51189,0.37
51190,0.18
51191,0.08
51192,0.38
51193,0.24
51194,0.7
51195,0.31
51196,0.48
51197,0.38
51198,0.35
51199,0.34
51200,0.29
51201,0.39
51202,0.33
51203,0.37
51204,0.21
51205,0.37
51206,0
51207,0.18
51208,0.33
51209,0.16
51210,0
51211,0.41
51212,0.43
51213,0.6
51214,0.13
51215,0
51216,0.24
51217,0.27
51218,0.04
51219,0.17
51220,0.39
51221,0.33
51222,0.25
51223,0.18
51224,0.24
51225,0.29
51226,0.29
51227,0.19
51228,0.09
51229,0.23
51230,0.39
51231,0.23
51232,0.15
51233,0.07
51234,0.19
51235,0.28
51236,0.15
51237,0.17
51238,0
51239,0.25
51240,0.26
51241,0.44
51242,0.56
51243,0.29
51244,0.42
51245,0.62
51246,0.43
51247,0.28
51248,0.14
51249,0
51250,0.44
51251,0.27
51252,0.08
51253,0
51254,0.1
51255,0.18
51256,0.27
51257,0.41
51258,0
51259,0
51260,0.3
51261,0.41
51262,0.17
51263,0.07
51264,0.22
51265,0.13
51266,0.25
51267,0.11
51268,0.23
51269,0.18
51270,0.39
51271,0.42
51272,0.11
51273,0.3
51274,0.16
51275,0.03
51276,0.28
51277,0.1
51278,0.29
51279,0.38
51280,0.16
51281,0.09
51282,0.49
51283,0
51284,0.32
51285,0
51286,0.31
51287,0.26
51288,0.2
51289,0.39
51290,0.2
51291,0
51292,0
51293,0.07
51294,0.34
51295,0.35
51296,0.55
51297,0
51298,0.09
51299,0
51300,0.21
51301,0.4
51302,0.32
51303,0.35
51304,0.25
51305,0.47
51306,0.49
51307,0.45
51308,0.36
51309,0.38
51310,0.29
51311,0.22
51312,0.17
51313,0.13
51314,0.28
51315,0.29
51316,0.22
51317,0.27
51318,0.49
51319,0.28
51320,0.33
51321,0.24
51322,0.4
51323,0.3
51324,0.17
51325,0.23
51326,0.26
51327,0.05
51328,0.64
51329,0.5
51330,0.11
51331,0.3
51332,0.43
51333,0.4
51334,0.54
51335,0.55
51336,0.52
51337,0.18
51338,0.12
51339,0.34
51340,0.41
51341,0.22
51342,0.26
51343,0.18
51344,0.28
51345,0.06
51346,0.32
51347,0.07
51348,0.1
51349,0.28
51350,0.36
51351,0
51352,0.29
51353,0.2
51354,0.18
51355,0.24
51356,0.37
51357,0.22
51358,0.21
51359,0.31
51360,0.05
51361,0.61
51362,0.45
51363,0.36
51364,0.58
51365,0.36
51366,0.44
51367,0.28
51368,0.4
51369,0.28
51370,0.19
51371,0.55
51372,0.52
51373,0.14
51374,0.64
51375,0.34
51376,0.31
51377,0.14
51378,0.55
51379,0.29
51380,0.34
51381,0
51382,0.16
51383,0.2
51384,0.32
51385,0.46
51386,0.02
51387,0.18
51388,0.09
51389,0.44
51390,0.3
51391,0.45
51392,0.36
51393,0.34
51394,0.12
51395,0.29
51396,0.41
51397,0.24
51398,0.31
51399,0.2
51400,0.23
51401,0.47
51402,0.08
51403,0.42
51404,0.4
51405,0.29
51406,0.32
51407,0.31
51408,0.22
51409,0.46
51410,0.2
51411,0.25
51412,0.57
51413,0.44
51414,0.26
51415,0.14
51416,0.17
51417,0.42
51418,0.26
51419,0.3
51420,0.23
51421,0
51422,0.26
51423,0.22
51424,0.26
51425,0.41
51426,0.32
51427,0.19
51428,0.2
51429,0.39
51430,0.33
51431,0.27
51432,0.13
51433,0.28
51434,0.28
51435,0.13
51436,0.36
51437,0.08
51438,0.07
51439,0.35
51440,0.09
51441,0.2
51442,0.27
51443,0.19
51444,0.44
51445,0.47
51446,0.23
51447,0.2
51448,0.25
51449,0.27
51450,0.38
51451,0.56
51452,0
51453,0.15
51454,0.47
51455,0
51456,0.05
51457,0.14
51458,0.44
51459,0.15
51460,0.05
51461,0.27
51462,0.4
51463,0.51
51464,0.2
51465,0.35
51466,0.2
51467,0.26
51468,0
51469,0.21
51470,0.41
51471,0.35
51472,0.23
51473,0.77
51474,0.16
51475,0.23
51476,0.06
51477,0.06
51478,0.36
51479,0.22
51480,0.58
51481,0.4
51482,0.09
51483,0.13
51484,0.57
51485,0.22
51486,0.07
51487,0.3
51488,0.39
51489,0.2
51490,0.3
51491,0.24
51492,0.27
51493,0.26
51494,0.47
51495,0.15
51496,0.25
51497,0.45
51498,0.14
51499,0.31
51500,0.36
51501,0.42
51502,0.25
51503,0.41
51504,0.39
51505,0.43
51506,0.4
51507,0.36
51508,0.3
51509,0.38
51510,0.06
51511,0.38
51512,0.02
51513,0.04
51514,0.28
51515,0.27
51516,0.15
51517,0.21
51518,0
51519,0.39
51520,0.27
51521,0.07
51522,0.2
51523,0.42
51524,0.35
51525,0.02
51526,0.34
51527,0.23
51528,0.12
51529,0.01
51530,0.29
51531,0.23
51532,0.23
51533,0.1
51534,0.08
51535,0.13
51536,0.57
51537,0.18
51538,0.24
51539,0.18
51540,0.04
51541,0.37
51542,0.44
51543,0.35
51544,0.28
51545,0.49
51546,0.36
51547,0.68
51548,0.37
51549,0.5
51550,0.13
51551,0.19
51552,0.06
51553,0.16
51554,0.25
51555,0.22
51556,0.35
51557,0.02
51558,0.16
51559,0.23
51560,0.37
51561,0.25
51562,0.28
51563,0.17
51564,0.14
51565,0.23
51566,0.7
51567,0.57
51568,0.13
51569,0.16
51570,0.55
51571,0.26
51572,0.4
51573,0.18
51574,0.37
51575,0.44
51576,0.11
51577,0.36
51578,0.2
51579,0.11
51580,0.74
51581,0.3
51582,0.29
51583,0.32
51584,0.15
51585,0.41
51586,0.22
51587,0.44
51588,0.57
51589,0.25
51590,0.18
51591,0.31
51592,0.28
51593,0.22
51594,0.32
51595,0.18
51596,0.2
51597,0.26
51598,0.36
51599,0.2
51600,0.2
51601,0.47
51602,0.15
51603,0.29
51604,0.21
51605,0.48
51606,0.37
51607,0.35
51608,0.45
51609,0
51610,0.65
51611,0.35
51612,0.66
51613,0.45
51614,0.4
51615,0.38
51616,0.34
51617,0.26
51618,0.29
51619,0.32
51620,0.35
51621,0.51
51622,0.48
51623,0.17
51624,0.06
51625,0.04
51626,0.42
51627,0.24
51628,0.24
51629,0.18
51630,0.23
51631,0.13
51632,0.34
51633,0.1
51634,0.21
51635,0.42
51636,0.49
51637,0.58
51638,0.29
51639,0.24
51640,0.31
51641,0.37
51642,0.43
51643,0.38
51644,0.52
51645,0.18
51646,0.13
51647,0.16
51648,0.33
51649,0.2
51650,0.38
51651,0.03
51652,0.26
51653,0.45
51654,0.39
51655,0.48
51656,0.36
51657,0.31
51658,0.28
51659,0.04
51660,0.35
51661,0.38
51662,0.42
51663,0.4
51664,0.34
51665,0.13
51666,0.33
51667,0.25
51668,0
51669,0.19
51670,0.16
51671,0.51
51672,0.52
51673,0.24
51674,0.42
51675,0.16
51676,0.47
51677,0.08
51678,0.12
51679,0.2
51680,0.44
51681,0.43
51682,0.22
51683,0.25
51684,0.47
51685,0.26
51686,0.31
51687,0.35
51688,0.44
51689,0.34
51690,0.24
51691,0.51
51692,0.37
51693,0.31
51694,0.31
51695,0.4
51696,0.32
51697,0.28
51698,0.04
51699,0.17
51700,0.35
51701,0.29
51702,0.56
51703,0.38
51704,0.23
51705,0.29
51706,0.41
51707,0.32
51708,0.24
51709,0.03
51710,0.11
51711,0.49
51712,0.3
51713,0.27
51714,0.4
51715,0.34
51716,0.15
51717,0.41
51718,0.2
51719,0.24
51720,0.61
51721,0.24
51722,0.26
51723,0.25
51724,0.09
51725,0.02
51726,0.28
51727,0.33
51728,0.22
51729,0.02
51730,0.31
51731,0.48
51732,0.12
51733,0.51
51734,0.4
51735,0.26
51736,0.44
51737,0.37
51738,0.34
51739,0.47
51740,0.46
51741,0.24
51742,0.67
51743,0.49
51744,0.08
51745,0.41
51746,0.1
51747,0.11
51748,0.21
51749,0.05
51750,0.36
51751,0
51752,0.44
51753,0.36
51754,0.25
51755,0.08
51756,0.37
51757,0.51
51758,0.41
51759,0.4
51760,0.39
51761,0.33
51762,0.35
51763,0.54
51764,0.22
51765,0.45
51766,0.15
51767,0.12
51768,0.29
51769,0.25
51770,0.45
51771,0.35
51772,0.27
51773,0.23
51774,0.27
51775,0.19
51776,0.3
51777,0.32
51778,0.38
51779,0.13
51780,0.25
51781,0.28
51782,0.17
51783,0.26
51784,0.32
51785,0.38
51786,0.49
51787,0.23
51788,0.27
51789,0.35
51790,0.41
51791,0.26
51792,0
51793,0.3
51794,0.14
51795,0.43
51796,0.32
51797,0.29
51798,0.24
51799,0.42
51800,0.09
51801,0.22
51802,0.31
51803,0.38
51804,0.4
51805,0.31
51806,0.16
51807,0.05
51808,0.18
51809,0.17
51810,0.16
51811,0.13
51812,0.16
51813,0.13
51814,0.43
51815,0.26
51816,0.1
51817,0.3
51818,0
51819,0.29
51820,0.39
51821,0.4
51822,0.13
51823,0.2
51824,0
51825,0.66
51826,0.21
51827,0.23
51828,0.02
51829,0.35
51830,0
51831,0.09
51832,0.24
51833,0.13
51834,0.24
51835,0.26
51836,0.21
51837,0.06
51838,0.1
51839,0.24
51840,0.5
51841,0.24
51842,0.21
51843,0.24
51844,0.4
51845,0.15
51846,0.48
51847,0.22
51848,0.36
51849,0.18
51850,0.19
51851,0.45
51852,0.07
51853,0.5
51854,0.23
51855,0.33
51856,0.29
51857,0.33
51858,0.64
51859,0.1
51860,0.08
51861,0.33
51862,0.38
51863,0.14
51864,0.33
51865,0.43
51866,0.3
51867,0.12
51868,0.16
51869,0.15
51870,0.21
51871,0.18
51872,0.33
51873,0.33
51874,0.4
51875,0.54
51876,0.22
51877,0.28
51878,0.18
51879,0.44
51880,0.41
51881,0.27
51882,0.34
51883,0.08
51884,0.31
51885,0.13
51886,0.25
51887,0.25
51888,0.56
51889,0.17
51890,0.28
51891,0.36
51892,0.03
51893,0.22
51894,0.45
51895,0.17
51896,0.26
51897,0.12
51898,0.19
51899,0.19
51900,0.5
51901,0.26
